"","species","sizemax","sst","k_m","k_sd"
"4143","Cephalopholis_miniata",45,21,0.126957018468181,0.0188088204840858
"4144","Cephalopholis_miniata",45,22,0.129606504760666,0.018450337072476
"4145","Cephalopholis_miniata",45,24,0.13513776896416,0.0180663283116217
"4146","Cephalopholis_miniata",45,25,0.138024746416793,0.0180839102252297
"4147","Cephalopholis_miniata",45,26,0.140996250612619,0.0182690659397412
"4148","Cephalopholis_miniata",45,27,0.144055132623061,0.0186398353467362
"4149","Cephalopholis_miniata",45,28,0.147204351586851,0.0192104200943282
"4150","Cephalopholis_miniata",45,29,0.150446979195524,0.0199904606133006
"4151","Cephalopholis_miniata",45,30,0.153786204379884,0.0209850190783492
"4152","Cephalopholis_nigripinnis",28,26,0.204175139645179,0.0292021955785047
"4153","Cephalopholis_nigripinnis",28,27,0.208606392116157,0.0298043592777437
"4154","Cephalopholis_panamensis",31,23,0.184123958116714,0.0657974157331139
"4155","Cephalopholis_panamensis",31,24,0.188057767413312,0.0669704940481702
"4156","Cephalopholis_panamensis",31,25,0.192106320515815,0.068268030784361
"4157","Cephalopholis_panamensis",31,26,0.196273466772398,0.0696981220053167
"4158","Cephalopholis_panamensis",31,27,0.200563200394012,0.0712690246833844
"4159","Cephalopholis_panamensis",31,28,0.204979666421707,0.0729891399193156
"4160","Cephalopholis_panamensis",31,29,0.209527166959399,0.0748670006966742
"4161","Cephalopholis_sexmaculata",50,27,0.140055153769859,0.0436228785388639
"4162","Cephalopholis_sexmaculata",50,28,0.143064360801019,0.0444713172318365
"4163","Cephalopholis_sexmaculata",50,29,0.146161770029859,0.0454249707381227
"4164","Cephalopholis_sonnerati",57,28,0.120396535829706,0.0162539452228156
"4165","Cephalopholis_sonnerati",57,29,0.123049527891205,0.0169005678782022
"4166","Cephalopholis_spiloparaea",30,25,0.194236211365339,0.0275707799768261
"4167","Cephalopholis_spiloparaea",30,27,0.202715707575283,0.0284082946519627
"4168","Cephalopholis_spiloparaea",30,28,0.207143855689961,0.029211005198768
"4169","Cephalopholis_spiloparaea",30,29,0.21170330699404,0.0302903295868994
"4170","Cephalopholis_taeniops",70,24,0.105300261822365,0.0311660973925409
"4171","Cephalopholis_taeniops",70,27,0.112362139346564,0.0334738123398163
"4172","Cephalopholis_urodeta",28,24,0.310343958109916,0.106539433569617
"4173","Cephalopholis_urodeta",28,25,0.316921311634639,0.108341464698505
"4174","Cephalopholis_urodeta",28,26,0.323690559795832,0.110356904348373
"4175","Cephalopholis_urodeta",28,27,0.330658150389354,0.112600169828036
"4176","Cephalopholis_urodeta",28,28,0.337830774863844,0.115085919696866
"4177","Cephalopholis_urodeta",28,29,0.345215378406078,0.117829010378
